Date,Time,Location,#,Session,Session Title,Paper ID,Paper Title,Authors,Title-arxiv,Abstract,URL
"Saturday, July 22, 2017",0900â€“1030,Kamehameha III,1,Spotlight 1-1A,Machine Learning 1,305,Exclusivity-Consistency Regularized Multi-View Subspace Clustering,"Xiaobo Wang, Xiaojie Guo, Zhen Lei, Changqing Zhang, Stan Z. Li",,,
,,,,,,373,Borrowing Treasures From the Wealthy: Deep Transfer Learning Through Selective Joint Fine-Tuning,"Weifeng Ge, Yizhou Yu",Borrowing Treasures from the Wealthy: Deep Transfer Learning through Selective Joint Fine-tuning,"Deep neural networks require a large amount of labeled training data during supervised learning. However, collecting and labeling so much data might be infeasible in many cases. In this paper, we introduce a source-target selective joint fine-tuning scheme for improving the performance of deep learning tasks with insufficient training data. In this scheme, a target learning task with insufficient training data is carried out simultaneously with another source learning task with abundant training data. However, the source learning task does not use all existing training data. Our core idea is to identify and use a subset of training images from the original source learning task whose low-level characteristics are similar to those from the target learning task, and jointly fine-tune shared convolutional layers for both tasks. Specifically, we compute descriptors from linear or nonlinear filter bank responses on training images from both tasks, and use such descriptors to search for a desired subset of training samples for the source learning task.   Experiments demonstrate that our selective joint fine-tuning scheme achieves state-of-the-art performance on multiple visual classification tasks with insufficient training data for deep learning. Such tasks include Caltech 256, MIT Indoor 67, Oxford Flowers 102 and Stanford Dogs 120. In comparison to fine-tuning without a source domain, the proposed method can improve the classification accuracy by 2% - 10% using a single model.",http://arxiv.org/pdf/1702.08690v2
,,,,,,968,The More You Know: Using Knowledge Graphs for Image Classification,"Kenneth Marino, Ruslan Salakhutdinov, Abhinav Gupta",The More You Know: Using Knowledge Graphs for Image Classification,"One characteristic that sets humans apart from modern learning-based computer vision algorithms is the ability to acquire knowledge about the world and use that knowledge to reason about the visual world. Humans can learn about the characteristics of objects and the relationships that occur between them to learn a large variety of visual concepts, often with few examples. This paper investigates the use of structured prior knowledge in the form of knowledge graphs and shows that using this knowledge improves performance on image classification. We build on recent work on end-to-end learning on graphs, introducing the Graph Search Neural Network as a way of efficiently incorporating large knowledge graphs into a vision classification pipeline. We show in a number of experiments that our method outperforms standard neural network baselines for multi-label classification.",http://arxiv.org/pdf/1612.04844v2
,,,,,,1358,Dynamic Edge-Conditioned Filters in Convolutional Neural Networks on Graphs,"Martin Simonovsky, Nikos Komodakis",Dynamic Edge-Conditioned Filters in Convolutional Neural Networks on Graphs,"A number of problems can be formulated as prediction on graph-structured data. In this work, we generalize the convolution operator from regular grids to arbitrary graphs while avoiding the spectral domain, which allows us to handle graphs of varying size and connectivity. To move beyond a simple diffusion, filter weights are conditioned on the specific edge labels in the neighborhood of a vertex. Together with the proper choice of graph coarsening, we explore constructing deep neural networks for graph classification. In particular, we demonstrate the generality of our formulation in point cloud classification, where we set the new state of the art, and on a graph classification dataset, where we outperform other deep learning approaches.",http://arxiv.org/pdf/1704.02901v1
,,,,,,2704,Convolutional Neural Network Architecture for Geometric Matching,"Ignacio Rocco, Relja ArandjeloviÄ‡, Josef Sivic",Convolutional neural network architecture for geometric matching,"We address the problem of determining correspondences between two images in agreement with a geometric model such as an affine or thin-plate spline transformation, and estimating its parameters. The contributions of this work are three-fold. First, we propose a convolutional neural network architecture for geometric matching. The architecture is based on three main components that mimic the standard steps of feature extraction, matching and simultaneous inlier detection and model parameter estimation, while being trainable end-to-end. Second, we demonstrate that the network parameters can be trained from synthetically generated imagery without the need for manual annotation and that our matching layer significantly increases generalization capabilities to never seen before images. Finally, we show that the same model can perform both instance-level and category-level matching giving state-of-the-art results on the challenging Proposal Flow dataset.",http://arxiv.org/pdf/1703.05593v2
,,,,,,2715,Deep Affordance-Grounded Sensorimotor Object Recognition,"Spyridon Thermos, Georgios Th. Papadopoulos, Petros Daras, Gerasimos Potamianos",Deep Affordance-grounded Sensorimotor Object Recognition,"It is well-established by cognitive neuroscience that human perception of objects constitutes a complex process, where object appearance information is combined with evidence about the so-called object ""affordances"", namely the types of actions that humans typically perform when interacting with them. This fact has recently motivated the ""sensorimotor"" approach to the challenging task of automatic object recognition, where both information sources are fused to improve robustness. In this work, the aforementioned paradigm is adopted, surpassing current limitations of sensorimotor object recognition research. Specifically, the deep learning paradigm is introduced to the problem for the first time, developing a number of novel neuro-biologically and neuro-physiologically inspired architectures that utilize state-of-the-art neural networks for fusing the available information sources in multiple ways. The proposed methods are evaluated using a large RGB-D corpus, which is specifically collected for the task of sensorimotor object recognition and is made publicly available. Experimental results demonstrate the utility of affordance information to object recognition, achieving an up to 29% relative error reduction by its inclusion.",http://arxiv.org/pdf/1704.02787v1
,,,,,,3235,Discovering Causal Signals in Images,"David Lopez-Paz, Robert Nishihara, Soumith Chintala, Bernhard SchÃ¶lkopf, LÃ©on Bottou",Discovering Causal Signals in Images,"The purpose of this paper is to point out and assay observable causal signals within collections of static images. We achieve this goal in two steps. First, we take a learning approach to observational causal inference, and build a classifier that achieves state-of-the-art performance on finding the causal direction between pairs of random variables, when given samples from their joint distribution. Second, we use our causal direction finder to effectively distinguish between features of objects and features of their contexts in collections of static images. Our experiments demonstrate the existence of (1) a relation between the direction of causality and the difference between objects and their contexts, and (2) observable causal signals in collections of static images.",http://arxiv.org/pdf/1605.08179v1
,,,,,,3653,On Compressing Deep Models by Low Rank and Sparse Decomposition,"Xiyu Yu, Tongliang Liu, Xinchao Wang, Dacheng Tao",,,
,,,,Oral 1-1A,,201,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,"Charles R. Qi, Hao Su, Kaichun Mo, Leonidas J. Guibas",PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,"Point cloud is an important type of geometric data structure. Due to its irregular format, most researchers transform such data to regular 3D voxel grids or collections of images. This, however, renders data unnecessarily voluminous and causes issues. In this paper, we design a novel type of neural network that directly consumes point clouds and well respects the permutation invariance of points in the input. Our network, named PointNet, provides a unified architecture for applications ranging from object classification, part segmentation, to scene semantic parsing. Though simple, PointNet is highly efficient and effective. Empirically, it shows strong performance on par or even better than state of the art. Theoretically, we provide analysis towards understanding of what the network has learnt and why the network is robust with respect to input perturbation and corruption.",http://arxiv.org/pdf/1612.00593v2
,,,,,,649,Universal Adversarial Perturbations,"Seyed-Mohsen Moosavi-Dezfooli, Alhussein Fawzi, Omar Fawzi, Pascal Frossard",Universal Adversarial Perturbations Against Semantic Image Segmentation,"While deep learning is remarkably successful on perceptual tasks, it was also shown to be vulnerable to adversarial perturbations of the input. These perturbations denote noise added to the input that was generated specifically to fool the system while being quasi-imperceptible for humans. More severely, there even exist universal perturbations that are input-agnostic but fool the network on the majority of inputs. While recent work has focused on image classification, this work proposes attacks against semantic image segmentation: we present an approach for generating (universal) adversarial perturbations that make the network yield a desired target segmentation as output. We show empirically that there exist barely perceptible universal noise patterns which result in nearly the same predicted segmentation for arbitrary inputs. Furthermore, we also show the existence of universal noise which removes a target class (e.g., all pedestrians) from the segmentation while leaving the segmentation mostly unchanged otherwise.",http://arxiv.org/pdf/1704.05712v1
