,Paper ID,Presentation,Title,Authors,Title (arxiv),Abstract,URL
0,52,Oral,Embodied Question Answering,"Abhishek Das, Georgia Tech; Samyak Datta, Georgia Tech; Georgia Gkioxari, Facebook; Devi Parikh, Georgia Tech; Dhruv Batra, Georgia Tech; Stefan Lee, Georgia Tech",Embodied Question Answering,"We present a new AI task -- Embodied Question Answering (EmbodiedQA) -- where an agent is spawned at a random location in a 3D environment and asked a question (""What color is the car?""). In order to answer, the agent must first intelligently navigate to explore the environment, gather information through first-person (egocentric) vision, and then answer the question (""orange"").   This challenging task requires a range of AI skills -- active perception, language understanding, goal-driven navigation, commonsense reasoning, and grounding of language into actions. In this work, we develop the environments, end-to-end-trained reinforcement learning agents, and evaluation protocols for EmbodiedQA.",http://arxiv.org/pdf/1711.11543v2
1,120,Oral,Learning by Asking Questions,"Ishan Misra, CMU; Ross Girshick, ; Rob Fergus, New York University; Martial Hebert, Carnegie Mellon University; Abhinav Gupta, ; Laurens van der Maaten, Facebook",Adviser Networks: Learning What Question to Ask for Human-In-The-Loop Viewpoint Estimation,"Humans have an unparalleled visual intelligence and can overcome visual ambiguities that machines currently cannot. Recent works have shown that incorporating guidance from humans during inference for monocular viewpoint-estimation can help overcome difficult cases in which the computer-alone would have otherwise failed. These hybrid intelligence approaches are hence gaining traction. However, deciding what question to ask the human at inference time remains an unknown for these problems.   We address this question by formulating it as an Adviser Problem: can we learn a mapping from the input to a specific question to ask the human to maximize the expected positive impact to the overall task? We formulate a solution to the adviser problem for viewpoint estimation using a deep network where the question asks for the location of a keypoint in the input image. We show that by using the Adviser Network's recommendations, the model and the human outperforms the previous hybrid-intelligence state-of-the-art by 3.7%, and the computer-only state-of-the-art by 5.28% absolute.",http://arxiv.org/pdf/1802.01666v2
2,565,Oral,Finding Tiny Faces in the Wild with Generative Adversarial Network,"Yancheng Bai, Kaust/Iscas; Yongqiang Zhang, Harbin institute of Technology/KAUST; Mingli Ding, ; Bernard Ghanem,",,,
3,NaN,Oral,Learning Face Age Progression: A Pyramid Architecture of GANs,"Hongyu Yang, BEIHANG UNIVERSITY; Di Huang, ; Yunhong Wang, ; Anil Jain, MSU",Learning Face Age Progression: A Pyramid Architecture of GANs,"The two underlying requirements of face age progression, i.e. aging accuracy and identity permanence, are not well handled in the literature. In this paper, we present a novel generative adversarial network based approach. It separately models the constraints for the intrinsic subject-specific characteristics and the age-specific facial changes with respect to the elapsed time, ensuring that the generated faces present desired aging effects while simultaneously keeping personalized properties stable. Further, to generate more lifelike facial details, high-level age-specific features conveyed by the synthesized face are estimated by a pyramidal adversarial discriminator at multiple scales, which simulates the aging effects in a finer manner. The proposed method is applicable for diverse face samples in the presence of variations in pose, expression, makeup, etc., and remarkably vivid aging effects are achieved. Both visual fidelity and quantitative evaluations show that the approach advances the state-of-the-art.",http://arxiv.org/pdf/1711.10352v1
4,3623,Oral,MakeupGAN: Makeup Transfer via Cycle-Consistent Adversarial Networks,"Huiwen Chang, ; Jingwan Lu, Adobe Research; Fisher Yu, UC Berkeley; Adam Finkelstein, Princeton University",,,
5,736,Spotlight,GANerated Hands for Real-Time 3D Hand Tracking from Monocular RGB,"Franziska Mueller, MPI Informatics; Florian Bernard, MPI Informatics; Oleksandr Sotnychenko, MPI Informatics; Dushyant Mehta, MPI For Informatics; Srinath Sridhar, ; Dan Casas, MPI; Christian Theobalt, MPI Informatics",GANerated Hands for Real-time 3D Hand Tracking from Monocular RGB,"We address the highly challenging problem of real-time 3D hand tracking based on a monocular RGB-only sequence. Our tracking method combines a convolutional neural network with a kinematic 3D hand model, such that it generalizes well to unseen data, is robust to occlusions and varying camera viewpoints, and leads to anatomically plausible as well as temporally smooth hand motions. For training our CNN we propose a novel approach for the synthetic generation of training data that is based on a geometrically consistent image-to-image translation network. To be more specific, we use a neural network that translates synthetic images to ""real"" images, such that the so-generated images follow the same statistical distribution as real-world hand images. For training this translation network we combine an adversarial loss and a cycle-consistency loss with a geometric consistency loss in order to preserve geometric properties (such as hand pose) during translation. We demonstrate that our hand tracking system outperforms the current state-of-the-art on challenging RGB-only footage.",http://arxiv.org/pdf/1712.01057v1
6,1772,Spotlight,Learning Pose Specific Representations by Predicting different Views,"Georg Poier, Graz University of Technology; David Schinagl, ; Horst Bischof,",,,
7,2130,Spotlight,Weakly Supervised Human Body Part Parsing via Pose-Guided Knowledge Transfer,"Hao-Shu Fang, Shanghai Jiao Tong University; Guansong Lu, Shanghai Jiao Tong University; Xiaolin Fang, Zhejiang University; Yu-Wing Tai, Tencent YouTu; Cewu Lu, Shanghai Jiao Tong University",,,
8,2672,Spotlight,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Longhui Wei, Peking University; Shiliang Zhang, Peking University; Wen Gao, ; Qi Tian,",Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,"Although the performance of person Re-Identification (ReID) has been significantly boosted, many challenging issues in real scenarios have not been fully investigated, e.g., the complex scenes and lighting variations, viewpoint and pose changes, and the large number of identities in a camera network. To facilitate the research towards conquering those issues, this paper contributes a new dataset called MSMT17 with many important features, e.g., 1) the raw videos are taken by an 15-camera network deployed in both indoor and outdoor scenes, 2) the videos cover a long period of time and present complex lighting variations, and 3) it contains currently the largest number of annotated identities, i.e., 4,101 identities and 126,441 bounding boxes. We also observe that, domain gap commonly exists between datasets, which essentially causes severe performance drop when training and testing on different datasets. This results in that available training data cannot be effectively leveraged for new testing domains. To relieve the expensive costs of annotating new training samples, we propose a Person Transfer Generative Adversarial Network (PTGAN) to bridge the domain gap. Comprehensive experiments show that the domain gap could be substantially narrowed-down by the PTGAN.",http://arxiv.org/pdf/1711.08565v1
9,3284,Spotlight,Cross-modal Deep Variational Hand Pose Estimation,"Adrian Spurr, ETH Zurich; Jie Song, ETHZ; Seonwook Park, ETH Zurich; Otmar HIlliges, ETH Zurich",Cross-modal Deep Variational Hand Pose Estimation,"The human hand moves in complex and high-dimensional ways, making estimation of 3D hand pose configurations from images alone a challenging task. In this work we propose a method to learn a statistical hand model represented by a cross-modal trained latent space via a generative deep neural network. We derive an objective function from the variational lower bound of the VAE framework and jointly optimize the resulting cross-modal KL-divergence and the posterior reconstruction objective, naturally admitting a training regime that leads to a coherent latent space across multiple modalities such as RGB images, 2D keypoint detections or 3D hand configurations. Additionally, it grants a straightforward way of using semi-supervision. This latent space can be directly used to estimate 3D hand poses from RGB images, outperforming the state-of-the art in different settings. Furthermore, we show that our proposed method can be used without changes on depth images and performs comparably to specialized methods. Finally, the model is fully generative and can synthesize consistent pairs of hand configurations across modalities. We evaluate our method on both RGB and depth datasets and analyze the latent space qualitatively.",http://arxiv.org/pdf/1803.11404v1
10,1801,Spotlight,Disentangled Person Image Generation,"Liqian Ma, KU Leuven; Qianru Sun, MPI for Informatics; Stamatios Georgoulis, KU Leuven; Mario Fritz, MPI, Saarbrucken, Germany; Bernt Schiele, MPI Informatics Germany; Luc Van Gool, KU Leuven",Disentangled Person Image Generation,"Generating novel, yet realistic, images of persons is a challenging task due to the complex interplay between the different image factors, such as the foreground, background and pose information. In this work, we aim at generating such images based on a novel, two-stage reconstruction pipeline that learns a disentangled representation of the aforementioned image factors and generates novel person images at the same time. First, a multi-branched reconstruction network is proposed to disentangle and encode the three factors into embedding features, which are then combined to re-compose the input image itself. Second, three corresponding mapping functions are learned in an adversarial manner in order to map Gaussian noise to the learned embedding feature space, for each factor respectively. Using the proposed framework, we can manipulate the foreground, background and pose of the input image, and also sample new embedding features to generate such targeted manipulations, that provide more control over the generation process. Experiments on Market-1501 and Deepfashion datasets show that our model does not only generate realistic person images with new foregrounds, backgrounds and poses, but also manipulates the generated factors and interpolates the in-between states. Another set of experiments on Market-1501 shows that our model can also be beneficial for the person re-identification task.",http://arxiv.org/pdf/1712.02621v2
11,568,Spotlight,Integrated facial landmark localization and super-resolution of real-world very low resolution faces in arbitrary poses with GANs,"Adrian Bulat, ; Georgios Tzimiropoulos,",Super-FAN: Integrated facial landmark localization and super-resolution of real-world low resolution faces in arbitrary poses with GANs,"This paper addresses 2 challenging tasks: improving the quality of low resolution facial images and accurately locating the facial landmarks on such poor resolution images. To this end, we make the following 5 contributions: (a) we propose Super-FAN: the very first end-to-end system that addresses both tasks simultaneously, i.e. both improves face resolution and detects the facial landmarks. The novelty or Super-FAN lies in incorporating structural information in a GAN-based super-resolution algorithm via integrating a sub-network for face alignment through heatmap regression and optimizing a novel heatmap loss. (b) We illustrate the benefit of training the two networks jointly by reporting good results not only on frontal images (as in prior work) but on the whole spectrum of facial poses, and not only on synthetic low resolution images (as in prior work) but also on real-world images. (c) We improve upon the state-of-the-art in face super-resolution by proposing a new residual-based architecture. (d) Quantitatively, we show large improvement over the state-of-the-art for both face super-resolution and alignment. (e) Qualitatively, we show for the first time good results on real-world low resolution images.",http://arxiv.org/pdf/1712.02765v2
12,1621,Spotlight,Multistage Adversarial Losses for Pose-Based Human Image Synthesis,"Chenyang Si, Institute of Automation, Chine; Wei Wang, ; Liang Wang, unknown; Tieniu Tan, NLPR China",,,
13,984,Oral,Rotation Averaging and Strong Duality,"Anders Eriksson, ; Fredrik Kahl, Chalmers; Carl Olsson, Lund University; Tat-Jun Chin,",Rotation Averaging and Strong Duality,"In this paper we explore the role of duality principles within the problem of rotation averaging, a fundamental task in a wide range of computer vision applications. In its conventional form, rotation averaging is stated as a minimization over multiple rotation constraints. As these constraints are non-convex, this problem is generally considered challenging to solve globally. We show how to circumvent this difficulty through the use of Lagrangian duality. While such an approach is well-known it is normally not guaranteed to provide a tight relaxation. Based on spectral graph theory, we analytically prove that in many cases there is no duality gap unless the noise levels are severe. This allows us to obtain certifiably global solutions to a class of important non-convex problems in polynomial time.   We also propose an efficient, scalable algorithm that out-performs general purpose numerical solvers and is able to handle the large problem instances commonly occurring in structure from motion settings. The potential of this proposed method is demonstrated on a number of different problems, consisting of both synthetic and real-world data.",http://arxiv.org/pdf/1705.01362v2
