Paper ID,Paper Title,Authors,Title-arxiv,Abstract,URL
2218,Globally-Optimal Inlier Set Maximisation for Simultaneous Camera Pose and Feature Correspondence,Dylan Campbell; Lars Petersson; Laurent Kneip; Hongdong Li,Globally-Optimal Inlier Set Maximisation for Simultaneous Camera Pose and Feature Correspondence,"Estimating the 6-DoF pose of a camera from a single image relative to a pre-computed 3D point-set is an important task for many computer vision applications. Perspective-n-Point (PnP) solvers are routinely used for camera pose estimation, provided that a good quality set of 2D-3D feature correspondences are known beforehand. However, finding optimal correspondences between 2D key-points and a 3D point-set is non-trivial, especially when only geometric (position) information is known. Existing approaches to the simultaneous pose and correspondence problem use local optimisation, and are therefore unlikely to find the optimal solution without a good pose initialisation, or introduce restrictive assumptions. Since a large proportion of outliers are common for this problem, we instead propose a globally-optimal inlier set cardinality maximisation approach which jointly estimates optimal camera pose and optimal correspondences. Our approach employs branch-and-bound to search the 6D space of camera poses, guaranteeing global optimality without requiring a pose prior. The geometry of SE(3) is used to find novel upper and lower bounds for the number of inliers and local optimisation is integrated to accelerate convergence. The evaluation empirically supports the optimality proof and shows that the method performs much more robustly than existing approaches, including on a large-scale outdoor data-set.",http://arxiv.org/pdf/1709.09384v1
212,Robust Pseudo Random Fields for Light-Field Stereo Matching,Chao-Tsung Huang,,,
1392,A Lightweight Approach for On-The-Fly Reflectance Estimation,Kihwan Kim; Jinwei Gu; Stephen Tyree; Pavlo Molchanov; Matthias Nießner; Jan Kautz,A Lightweight Approach for On-the-Fly Reflectance Estimation,"Estimating surface reflectance (BRDF) is one key component for complete 3D scene capture, with wide applications in virtual reality, augmented reality, and human computer interaction. Prior work is either limited to controlled environments (\eg gonioreflectometers, light stages, or multi-camera domes), or requires the joint optimization of shape, illumination, and reflectance, which is often computationally too expensive (\eg hours of running time) for real-time applications. Moreover, most prior work requires HDR images as input which further complicates the capture process. In this paper, we propose a lightweight approach for surface reflectance estimation directly from $8$-bit RGB images in real-time, which can be easily plugged into any 3D scanning-and-fusion system with a commodity RGBD sensor. Our method is learning-based, with an inference time of less than 90ms per scene and a model size of less than 340K bytes. We propose two novel network architectures, HemiCNN and Grouplet, to deal with the unstructured input data from multiple viewpoints under unknown illumination. We further design a loss function to resolve the color-constancy and scale ambiguity. In addition, we have created a large synthetic dataset, SynBRDF, which comprises a total of $500$K RGBD images rendered with a physically-based ray tracer under a variety of natural illumination, covering $5000$ materials and $5000$ shapes. SynBRDF is the first large-scale benchmark dataset for reflectance estimation. Experiments on both synthetic data and real data show that the proposed method effectively recovers surface reflectance, and outperforms prior work for reflectance estimation in uncontrolled environments.",http://arxiv.org/pdf/1705.07162v1
1019,Distributed Very Large Scale Bundle Adjustment by Global Camera Consensus,Runze Zhang; Siyu Zhu; Tian Fang; Long Quan,,,
532,Practical Projective Structure From Motion (P2SfM),Ludovic Magerand; Alessio Del Bue,,,
316,Anticipating Daily Intention Using On-Wrist Motion Triggered Sensing,Tz-Ying Wu; Ting-An Chien; Cheng-Sheng Chan; Chan-Wei Hu; Min Sun,,,
785,Rethinking Reprojection: Closing the Loop for Pose-Aware Shape Reconstruction From a Single Image,Rui Zhu; Hamed Kiani Galoogahi; Chaoyang Wang; Simon Lucey,Rethinking Reprojection: Closing the Loop for Pose-aware ShapeReconstruction from a Single Image,"An emerging problem in computer vision is the reconstruction of 3D shape and pose of an object from a single image. Hitherto, the problem has been addressed through the application of canonical deep learning methods to regress from the image directly to the 3D shape and pose labels. These approaches, however, are problematic from two perspectives. First, they are minimizing the error between 3D shapes and pose labels - with little thought about the nature of this label error when reprojecting the shape back onto the image. Second, they rely on the onerous and ill-posed task of hand labeling natural images with respect to 3D shape and pose. In this paper we define the new task of pose-aware shape reconstruction from a single image, and we advocate that cheaper 2D annotations of objects silhouettes in natural images can be utilized. We design architectures of pose-aware shape reconstruction which re-project the predicted shape back on to the image using the predicted pose. Our evaluation on several object categories demonstrates the superiority of our method for predicting pose-aware 3D shapes from natural images.",http://arxiv.org/pdf/1707.04682v2
1007,End-To-End Learning of Geometry and Context for Deep Stereo Regression,Alex Kendall; Hayk Martirosyan; Saumitro Dasgupta; Peter Henry; Ryan Kennedy; Abraham Bachrach; Adam Bry,End-to-End Learning of Geometry and Context for Deep Stereo Regression,"We propose a novel deep learning architecture for regressing disparity from a rectified pair of stereo images. We leverage knowledge of the problem's geometry to form a cost volume using deep feature representations. We learn to incorporate contextual information using 3-D convolutions over this volume. Disparity values are regressed from the cost volume using a proposed differentiable soft argmin operation, which allows us to train our method end-to-end to sub-pixel accuracy without any additional post-processing or regularization. We evaluate our method on the Scene Flow and KITTI datasets and on KITTI we set a new state-of-the-art benchmark, while being significantly faster than competing approaches.",http://arxiv.org/pdf/1703.04309v1
1399,Using Sparse Elimination for Solving Minimal Problems in Computer Vision,Janne Heikkilä,,,
1474,High-Resolution Shape Completion Using Deep Neural Networks for Global Structure and Local Geometry Inference,Xiaoguang Han; Zhen Li; Haibin Huang; Evangelos Kalogerakis; Yizhou Yu,High-Resolution Shape Completion Using Deep Neural Networks for Global Structure and Local Geometry Inference,"We propose a data-driven method for recovering miss-ing parts of 3D shapes. Our method is based on a new deep learning architecture consisting of two sub-networks: a global structure inference network and a local geometry refinement network. The global structure inference network incorporates a long short-term memorized context fusion module (LSTM-CF) that infers the global structure of the shape based on multi-view depth information provided as part of the input. It also includes a 3D fully convolutional (3DFCN) module that further enriches the global structure representation according to volumetric information in the input. Under the guidance of the global structure network, the local geometry refinement network takes as input lo-cal 3D patches around missing regions, and progressively produces a high-resolution, complete surface through a volumetric encoder-decoder architecture. Our method jointly trains the global structure inference and local geometry refinement networks in an end-to-end manner. We perform qualitative and quantitative evaluations on six object categories, demonstrating that our method outperforms existing state-of-the-art work on shape completion.",http://arxiv.org/pdf/1709.07599v1
